"iris_id","iris_name","area_km2","cycling_length_km","cycling_density_km_per_km2","year","T2021"
"751082902","Champs Élysées 2",0.178294409777876,2.16505246376085,12.143131500635,2014,0
"751093403","Chaussée d'Antin 3",0.121360895329866,1.45375634009976,11.9787872044645,2014,0
"751103710","Saint-Vincent de Paul 10",0.115813364406417,0.500838145121103,4.32452806882928,2014,0
"751124813","Quinze-Vingts 13",0.0821104642742517,0.327110037069769,3.98378014253104,2014,0
"751155818","Necker 18",0.0932779102396272,0.417043442825069,4.47097755249556,2014,0
"751186929","Grandes Carrières 29",0.134774687474973,0.939563160080438,6.97136218739079,2014,0
"751207917","Père Lachaise 17",0.0821335972786335,0.667085716318841,8.1219590815655,2014,0
"751041699","Seine et Berges 4",0.139527039509643,0.823154708187092,5.89960706598524,2014,0
"751072599","Seine et Berges 1",0.0478469955844674,1.05004955329896,21.945987213455,2014,0
"751104088","Canal Saint-Martin 2",0.0670492759786769,0.77487608826316,11.5568151475578,2014,0
"751124577","Bois de Vincennes 1",4.6329955777039,18.7364764998732,4.04413865405822,2014,0
"751135099","Seine et Berges 2",0.20936732296592,0.926252922116976,4.4240567677686,2014,0
"751156099","Seine et Berges",0.279084505173953,0.967680087616642,3.46733720316535,2014,0
"751197488","Canal Saint-Denis",0.105181673603688,4.28211899702917,40.7116453876145,2014,0
"751020805","Bonne Nouvelle 5",0.047736684879069,1.84749689846693,38.7018265542983,2014,0
"751030901","Arts et Métiers 1",0.05565499789009,0.803383723816042,14.4350688037505,2014,0
"751031004","Enfants Rouges 4",0.0790136940021807,1.83932706495927,23.278585923454,2014,0
"751062401","Saint-Germain des Prés 1",0.0684538454682299,0.989170305037314,14.450178777705,2014,0
"751072705","École Militaire 5",0.113007041555401,0,0,2014,0
"751072801","Gros Caillou 1",0.0573733000408856,0.0100097612656905,0.174467239265605,2014,0
"751072804","Gros Caillou 4",0.0898360319821507,1.01675502650511,11.317897775217,2014,0
"751104004","Hôpital Saint-Louis 4",0.0340526059134024,0.00221458879467876,0.0650343412868484,2014,0
"751104008","Hôpital Saint-Louis 8",0.120679866648325,1.54351923035076,12.7901966849926,2014,0
"751104010","Hôpital Saint-Louis 10",0.0656866532627305,1.23340630002427,18.7771219686129,2014,0
"751114109","Folie Méricourt 9",0.059042545513494,1.22623224568889,20.7686209160586,2014,0
"751114207","Saint-Ambroise 7",0.0670178848613471,1.48745734936677,22.1949312850466,2014,0
"751114209","Saint-Ambroise 9",0.0761794424410304,1.31876489131855,17.31129618518,2014,0
"751114210","Saint-Ambroise 10",0.0632121012219572,0.740973279876541,11.7220162841092,2014,0
"751114213","Saint-Ambroise 13",0.0534050803404569,0.179459613195549,3.36034721886935,2014,0
"751114311","Roquette 11",0.0614269079199937,0.49318139004162,8.02875167807519,2014,0
"751114317","Roquette 17",0.0586888016323483,0.0827007417320267,1.40914006474522,2014,0
"751114319","Roquette 19",0.0588544790767626,0.21668529985796,3.68171298526561,2014,0
"751124501","Bel-Air 1",0.324672472057349,6.00675688525669,18.5009737573183,2014,0
"751124620","Picpus 20",0.0363343196564341,0.0577340057111368,1.58896619661663,2014,0
"751124624","Picpus 24",0.0687942177324959,0.587350552307506,8.5377895361991,2014,0
"751124701","Bercy 1",0.0580823050758613,2.0347497458464,35.0321796490139,2014,0
"751134904","Salpêtrière 4",0.047311093052566,0.399095323458305,8.43555491340861,2014,0
"751134905","Salpêtrière 5",0.098865482703227,0.368857341423887,3.73090113291732,2014,0
"751135023","Gare 23",0.0369359245534727,0.275980134367268,7.4718620882964,2014,0
"751135106","Maison Blanche 6",0.0969879636455962,2.35496121358284,24.2809635862456,2014,0
"751145509","Petit Montrouge 9",0.0268710034503572,0.76933507976439,28.6306792072613,2014,0
"751145511","Petit Montrouge 11",0.0581955985847457,0.816806219398328,14.035532570541,2014,0
"751145607","Plaisance 7",0.103897474287496,0,0,2014,0
"751155704","Saint-Lambert 4",0.172490372560644,0.586162367345332,3.3982323688196,2014,0
"751155717","Saint-Lambert 17",0.0604206949967451,0.0912920777799459,1.51094054421029,2014,0
"751155719","Saint-Lambert 19",0.049536312969956,0.430915655960809,8.6989852519335,2014,0
"751155901","Grenelle 1",0.0437597072163797,0.208645789303266,4.76798869497847,2014,0
"751155910","Grenelle 10",0.0497098433399291,0.905618127373197,18.2180845186001,2014,0
"751156005","Javel 5",0.0526789425446037,0.150694385175172,2.86061902339018,2014,0
"751156016","Javel 16",0.0455541298943359,0.137954457808431,3.02836335867726,2014,0
"751156017","Javel 17",0.0479775552476817,0.568004367641516,11.8389602118995,2014,0
"751156018","Javel 18",0.0523818294626084,0.273945597494797,5.22978292864602,2014,0
"751156020","Javel 20",0.075517989349481,0.00643083211691968,0.0851562941799096,2014,0
"751166112","Auteuil 12",0.108253171714574,0.1420449478431,1.31215506754502,2014,0
"751166120","Auteuil 20",0.087397037885005,0,0,2014,0
"751166210","Muette 10",0.0564235763255215,0.00328689124167905,0.058253862228019,2014,0
"751166216","Muette 16",0.0540916511848907,0,0,2014,0
"751166305","Porte Dauphine 5",0.224594804703003,1.2931495345912,5.75770012267746,2014,0
"751166404","Chaillot 4",0.0992636984961905,0.420327811719767,4.23445648396728,2014,0
"751166406","Chaillot 6",0.105655236260158,0.0249165878277668,0.235829180925913,2014,0
"751176511","Ternes 11",0.0541820849311717,1.15087694591945,21.2409128844235,2014,0
"751176610","Plaine Monceau 10",0.0754042211749743,0.472144918493065,6.26151840223188,2014,0
"751176705","Batignolles 5",0.0410938755772344,0.69268400911937,16.8561373048764,2014,0
